C,Penalty,Solver,Class Weight,Threshold,Accuracy,Precision,Recall,F1 Score
1.0,l2,liblinear,None,0.5,0.6574685605717905,0.31587677725118485,0.5972222222222222,0.41320520768753877
1.0,l2,liblinear,balanced,0.5,0.6574685605717905,0.31587677725118485,0.5972222222222222,0.41320520768753877
1.0,l1,liblinear,balanced,0.5,0.657287614222383,0.31577077906701395,0.5974462365591398,0.41316808675445393
1.0,l1,liblinear,None,0.5,0.657287614222383,0.31577077906701395,0.5974462365591398,0.41316808675445393
0.01,l1,liblinear,balanced,0.5,0.6461594137338279,0.3078067765567766,0.6023745519713262,0.4074242424242424
0.01,l1,liblinear,None,0.5,0.6461594137338279,0.3078067765567766,0.6023745519713262,0.4074242424242424
0.01,l2,liblinear,balanced,0.5,0.6446666063512169,0.30748268422845465,0.6066308243727598,0.4081079044533193
0.01,l2,liblinear,None,0.5,0.6446666063512169,0.30748268422845465,0.6066308243727598,0.4081079044533193
0.01,l2,lbfgs,balanced,0.5,0.6445761331765132,0.30736913818553424,0.6064068100358423,0.4079571999095773
0.01,l2,lbfgs,None,0.5,0.6445761331765132,0.30736913818553424,0.6064068100358423,0.4079571999095773
0.001,l2,lbfgs,balanced,0.5,0.6230435175970325,0.29075175770686856,0.6021505376344086,0.39215114158581954
0.001,l2,lbfgs,None,0.5,0.6230435175970325,0.29075175770686856,0.6021505376344086,0.39215114158581954
0.001,l2,liblinear,None,0.5,0.6228173346602732,0.2906398616515348,0.6023745519713262,0.3920968212306795
0.001,l2,liblinear,balanced,0.5,0.6228173346602732,0.2906398616515348,0.6023745519713262,0.3920968212306795
10.0,l2,lbfgs,None,0.4,0.49212883380077804,0.25751165292219436,0.8044354838709677,0.39013525992720954
10.0,l2,lbfgs,balanced,0.4,0.49212883380077804,0.25751165292219436,0.8044354838709677,0.39013525992720954
10.0,l1,liblinear,balanced,0.4,0.49086220935492625,0.2569608474697588,0.8042114695340502,0.3894765391917548
10.0,l1,liblinear,None,0.4,0.49086220935492625,0.2569608474697588,0.8042114695340502,0.3894765391917548
1.0,l2,lbfgs,None,0.4,0.49072649959287074,0.2570447718495208,0.8051075268817204,0.3896779789656294
1.0,l2,lbfgs,balanced,0.4,0.49072649959287074,0.2570447718495208,0.8051075268817204,0.3896779789656294
10.0,l2,liblinear,None,0.4,0.49068126300551884,0.25688729874776384,0.8042114695340502,0.38939204946038286
10.0,l2,liblinear,balanced,0.4,0.49068126300551884,0.25688729874776384,0.8042114695340502,0.38939204946038286
1.0,l2,liblinear,balanced,0.4,0.4901836605446485,0.256789594053745,0.8048835125448028,0.38935847420892933
