C,Penalty,Solver,Class Weight,Threshold,Accuracy,Precision,Recall,F1 Score
1.0,l2,lbfgs,balanced,0.3,0.2941282909617298,0.21848781967047406,0.9684139784946236,0.3565360824742268
10.0,l2,lbfgs,balanced,0.3,0.29394734461232247,0.2183867380976448,0.9679659498207885,0.35637113402061854
1.0,l2,liblinear,balanced,0.3,0.2936306885008595,0.21839486842769837,0.9686379928315412,0.3564274821745044
1.0,l1,liblinear,balanced,0.3,0.2934497421514521,0.2183791971724312,0.9688620071684588,0.35642177263175245
0.001,l2,liblinear,balanced,0.4,0.29304261286528543,0.2162464416429443,0.9529569892473119,0.35250248591315875
0.01,l2,lbfgs,balanced,0.3,0.24893694019723153,0.20949600344613029,0.980510752688172,0.3452301139724731
0.01,l2,liblinear,balanced,0.3,0.24889170360987967,0.20948597683545517,0.980510752688172,0.345216499723953
0.01,l1,liblinear,balanced,0.3,0.22491631231339906,0.20586869718636827,0.9932795698924731,0.34105068840858394
0.001,l1,liblinear,balanced,0.3,0.2019361259386592,0.2019361259386592,1.0,0.33601806548739177
0.001,l1,liblinear,balanced,0.4,0.2019361259386592,0.2019361259386592,1.0,0.33601806548739177
0.001,l2,liblinear,balanced,0.3,0.2019361259386592,0.2019361259386592,1.0,0.33601806548739177
0.001,l2,lbfgs,balanced,0.3,0.2019361259386592,0.2019361259386592,1.0,0.33601806548739177
