max_depth,min_samples_split,min_samples_leaf,max_features,criterion,splitter,f1_score,precision,recall,accuracy
20,50,20,sqrt,entropy,best,0.039241052177662786,0.5229885057471264,0.02038530465949821,0.7984257667601556
20,50,10,sqrt,gini,random,0.018494055482166448,0.5384615384615384,0.009408602150537635,0.798335293585452
30,50,10,log2,entropy,best,0.02450765864332604,0.5283018867924528,0.012544802867383513,0.798335293585452
20,10,10,sqrt,gini,random,0.0329646497505964,0.5170068027210885,0.017025089605734768,0.7982900569981001
20,20,10,sqrt,gini,random,0.0329646497505964,0.5170068027210885,0.017025089605734768,0.7982900569981001
30,10,20,log2,entropy,best,0.015020985199911642,0.5396825396825397,0.0076164874551971325,0.7982900569981001
30,20,20,log2,entropy,best,0.015020985199911642,0.5396825396825397,0.0076164874551971325,0.7982900569981001
20,10,20,sqrt,entropy,random,0.012837538733953076,0.5370370370370371,0.006496415770609319,0.7982448204107482
20,20,20,sqrt,entropy,random,0.012837538733953076,0.5370370370370371,0.006496415770609319,0.7982448204107482
20,20,20,sqrt,gini,random,0.012837538733953076,0.5370370370370371,0.006496415770609319,0.7982448204107482
20,10,20,sqrt,gini,random,0.012837538733953076,0.5370370370370371,0.006496415770609319,0.7982448204107482
30,50,20,log2,entropy,best,0.008888888888888889,0.5555555555555556,0.004480286738351254,0.7982448204107482
10,20,20,sqrt,gini,best,0.004907428061565916,0.5789473684210527,0.00246415770609319,0.7981995838233964
10,10,20,sqrt,entropy,best,0.010206345684490793,0.5348837209302325,0.005152329749103943,0.7981995838233964
10,20,20,sqrt,entropy,best,0.010206345684490793,0.5348837209302325,0.005152329749103943,0.7981995838233964
10,10,20,sqrt,gini,best,0.004907428061565916,0.5789473684210527,0.00246415770609319,0.7981995838233964
10,50,10,log2,gini,random,0.0017897091722595079,0.6666666666666666,0.0008960573476702509,0.7981543472360445
10,50,20,log2,gini,random,0.0017897091722595079,0.6666666666666666,0.0008960573476702509,0.7981543472360445
20,20,10,log2,entropy,random,0.005348785379986628,0.5217391304347826,0.002688172043010753,0.7981091106486926
20,10,10,log2,entropy,random,0.005348785379986628,0.5217391304347826,0.002688172043010753,0.7981091106486926
10,20,20,log2,gini,best,0.0031263957123715946,0.5,0.0015681003584229391,0.7980638740613408
10,50,20,sqrt,entropy,random,0.005790645879732739,0.5,0.0029121863799283156,0.7980638740613408
10,20,20,log2,entropy,best,0.004016064257028112,0.5,0.0020161290322580645,0.7980638740613408
10,20,20,log2,gini,random,0.0044603033006244425,0.5,0.002240143369175627,0.7980638740613408
10,50,20,log2,entropy,random,0.0,0.0,0.0,0.7980638740613408
10,50,10,sqrt,gini,best,0.018469656992084433,0.5,0.009408602150537635,0.7980638740613408
10,10,20,log2,gini,best,0.0031263957123715946,0.5,0.0015681003584229391,0.7980638740613408
20,50,20,log2,gini,best,0.01500441306266549,0.5,0.0076164874551971325,0.7980638740613408
30,20,20,log2,entropy,random,0.006233303650934996,0.5,0.0031362007168458782,0.7980638740613408
30,10,20,log2,entropy,random,0.006233303650934996,0.5,0.0031362007168458782,0.7980638740613408
10,50,20,log2,gini,best,0.0044603033006244425,0.5,0.002240143369175627,0.7980638740613408
10,50,20,sqrt,gini,random,0.005790645879732739,0.5,0.0029121863799283156,0.7980638740613408
10,10,20,log2,entropy,best,0.004016064257028112,0.5,0.0020161290322580645,0.7980638740613408
10,10,20,log2,gini,random,0.0044603033006244425,0.5,0.002240143369175627,0.7980638740613408
10,20,20,log2,entropy,random,0.002680366316729953,0.46153846153846156,0.0013440860215053765,0.7980186374739889
10,20,20,sqrt,entropy,random,0.00711585501445408,0.48484848484848486,0.0035842293906810036,0.7980186374739889
10,20,20,sqrt,gini,random,0.00711585501445408,0.48484848484848486,0.0035842293906810036,0.7980186374739889
10,10,10,sqrt,gini,random,0.006231916314266637,0.4827586206896552,0.0031362007168458782,0.7980186374739889
10,10,20,log2,entropy,random,0.002680366316729953,0.46153846153846156,0.0013440860215053765,0.7980186374739889
10,10,20,sqrt,entropy,random,0.00711585501445408,0.48484848484848486,0.0035842293906810036,0.7980186374739889
10,10,20,sqrt,gini,random,0.00711585501445408,0.48484848484848486,0.0035842293906810036,0.7980186374739889
10,20,10,sqrt,gini,random,0.006231916314266637,0.4827586206896552,0.0031362007168458782,0.7980186374739889
20,50,20,log2,entropy,best,0.009318837364100288,0.4883720930232558,0.004704301075268817,0.7980186374739889
20,20,20,sqrt,entropy,best,0.01629955947136564,0.4868421052631579,0.008288530465949821,0.7979734008866372
30,10,10,log2,entropy,random,0.013256738842244807,0.4838709677419355,0.006720430107526882,0.7979734008866372
10,50,10,sqrt,entropy,random,0.0008948545861297539,0.3333333333333333,0.00044802867383512545,0.7979734008866372
20,10,20,sqrt,entropy,best,0.01629955947136564,0.4868421052631579,0.008288530465949821,0.7979734008866372
10,20,10,log2,entropy,random,0.001788109074653554,0.4,0.0008960573476702509,0.7979734008866372
10,10,10,log2,entropy,random,0.001788109074653554,0.4,0.0008960573476702509,0.7979734008866372
10,50,10,sqrt,gini,random,0.0008948545861297539,0.3333333333333333,0.00044802867383512545,0.7979734008866372
30,20,10,log2,entropy,random,0.013256738842244807,0.4838709677419355,0.006720430107526882,0.7979734008866372
30,50,20,log2,entropy,random,0.007114273010226767,0.47058823529411764,0.0035842293906810036,0.7979734008866372
30,50,10,log2,gini,best,0.03207628955353273,0.49333333333333335,0.016577060931899642,0.7979734008866372
10,10,10,log2,gini,random,0.004900868790376476,0.44,0.00246415770609319,0.7979281642992853
10,50,10,log2,entropy,random,0.003569038590229757,0.42105263157894735,0.0017921146953405018,0.7979281642992853
10,50,20,sqrt,gini,best,0.004457321149988857,0.43478260869565216,0.002240143369175627,0.7979281642992853
20,50,20,sqrt,entropy,random,0.015428697377121445,0.4794520547945205,0.007840501792114695,0.7979281642992853
10,10,10,sqrt,entropy,best,0.0026791694574681848,0.4,0.0013440860215053765,0.7979281642992853
10,20,10,log2,gini,random,0.004900868790376476,0.44,0.00246415770609319,0.7979281642992853
10,20,10,sqrt,entropy,best,0.0026791694574681848,0.4,0.0013440860215053765,0.7979281642992853
20,10,20,sqrt,gini,best,0.033318909562959756,0.4873417721518987,0.01724910394265233,0.7978829277119334
10,20,10,sqrt,entropy,random,0.004012483281319661,0.4090909090909091,0.0020161290322580645,0.7978829277119334
10,10,10,log2,gini,best,0.004899777282850779,0.4230769230769231,0.00246415770609319,0.7978829277119334
10,10,10,sqrt,entropy,random,0.004012483281319661,0.4090909090909091,0.0020161290322580645,0.7978829277119334
20,20,20,log2,gini,best,0.006669630947087594,0.4411764705882353,0.003360215053763441,0.7978829277119334
20,10,20,log2,gini,best,0.006669630947087594,0.4411764705882353,0.003360215053763441,0.7978829277119334
20,10,20,log2,entropy,random,0.00044742729306487697,0.16666666666666666,0.00022401433691756272,0.7978829277119334
20,20,20,sqrt,gini,best,0.033318909562959756,0.4873417721518987,0.01724910394265233,0.7978829277119334
20,10,20,log2,entropy,best,0.00975177304964539,0.4583333333333333,0.00492831541218638,0.7978829277119334
20,20,20,log2,entropy,best,0.00975177304964539,0.4583333333333333,0.00492831541218638,0.7978829277119334
20,50,10,log2,gini,best,0.014991181657848324,0.4722222222222222,0.0076164874551971325,0.7978829277119334
20,20,20,log2,entropy,random,0.00044742729306487697,0.16666666666666666,0.00022401433691756272,0.7978829277119334
10,20,10,log2,gini,best,0.004899777282850779,0.4230769230769231,0.00246415770609319,0.7978829277119334
20,50,20,sqrt,gini,random,0.00931057415207271,0.44680851063829785,0.004704301075268817,0.7978376911245816
20,50,10,log2,entropy,best,0.011061946902654867,0.44642857142857145,0.005600358422939068,0.7977924545372297
10,50,20,sqrt,entropy,best,0.021453590192644482,0.47115384615384615,0.010976702508960573,0.7977924545372297
20,50,20,log2,entropy,random,0.00445335114673792,0.37037037037037035,0.002240143369175627,0.7977472179498779
30,10,10,log2,gini,best,0.029092488059053408,0.47183098591549294,0.015008960573476702,0.797701981362526
10,50,20,,gini,random,0.054945054945054944,0.48507462686567165,0.029121863799283155,0.797701981362526
30,20,10,log2,gini,best,0.029092488059053408,0.47183098591549294,0.015008960573476702,0.797701981362526
20,50,10,sqrt,entropy,random,0.01323918799646955,0.4411764705882353,0.006720430107526882,0.797701981362526
30,50,10,log2,gini,random,0.02058694699956198,0.46078431372549017,0.010528673835125449,0.797701981362526
30,50,20,sqrt,entropy,random,0.03537532355478861,0.47674418604651164,0.018369175627240143,0.797701981362526
20,20,10,log2,gini,best,0.022295081967213116,0.4594594594594595,0.0114247311827957,0.7976567447751741
30,10,20,sqrt,gini,random,0.021011162179908074,0.45714285714285713,0.010752688172043012,0.7976567447751741
30,20,20,sqrt,gini,random,0.021011162179908074,0.45714285714285713,0.010752688172043012,0.7976567447751741
20,50,10,log2,gini,random,0.020153340635268347,0.45544554455445546,0.010304659498207885,0.7976567447751741
20,10,10,log2,gini,best,0.022295081967213116,0.4594594594594595,0.0114247311827957,0.7976567447751741
30,50,20,sqrt,gini,random,0.026544821583986074,0.4621212121212121,0.013664874551971327,0.7976115081878223
30,50,20,log2,gini,best,0.011052166224580018,0.4166666666666667,0.005600358422939068,0.7976115081878223
10,50,10,log2,entropy,best,0.0035634743875278397,0.3076923076923077,0.0017921146953405018,0.7976115081878223
10,50,10,log2,gini,best,0.0035634743875278397,0.3076923076923077,0.0017921146953405018,0.7976115081878223
